feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh
emo_excitement_euphoria,GLD__fwd_1m,441,0.21289465965153,6.4857235068681325e-06,0.019395496627966222,4.6832956950757095e-05,0.12861467015655323
emo_optimism_confidence,GC=F__fwd_1m,441,0.2098754086671008,8.810868297716124e-06,0.014180511695352721,6.279990827883634e-05,0.11366625119830515
emo_optimism_confidence,GLD__fwd_1m,441,0.209776388815735,8.899181849496938e-06,0.01966815133743206,6.279990827883634e-05,0.12861467015655323
share_optimism_confidence,GC=F__fwd_3m,432,-0.21011703049755787,1.06369162282102e-05,0.5437490000528363,7.421938177211837e-05,0.6378283584040826
cell_optimism_confidence__growth_gdp,^IXIC__fwd_3m,432,0.2086794533962627,1.2255608991835466e-05,0.15707757433488503,8.456370204366471e-05,0.3027057902390633
share_confusion_uncertainty,^GSPC__fwd_3m,432,-0.20684083634865197,1.466890661472555e-05,0.0975401700794041,0.00010010319788730291,0.2280949834843059
share_optimism_confidence,GLD__fwd_3m,432,-0.20618223417081552,1.5638381586740672e-05,0.5012321734873668,0.0001042968516278057,0.6044924649355204
emo_surprise,GLD__fwd_1m,441,0.20406921149409094,1.5686465583742802e-05,0.02457606104472326,0.0001042968516278057,0.14534984675022042
emo_surprise,GC=F__fwd_1m,441,0.20400379292033977,1.5787285109522925e-05,0.01979857277928045,0.0001042968516278057,0.12861467015655323
cell_fear_anxiety__monetary_policy,^GSPC__fwd_1m,441,0.20154773037036852,2.0050429182787443e-05,0.18418447541609842,0.00013106648971064212,0.33346518726937935
cell_fear_anxiety__monetary_policy,SPY__fwd_1m,441,0.20124287074217523,2.0650117266918886e-05,0.18375287012503771,0.00013358044607038157,0.33346518726937935
share_confusion_uncertainty,SPY__fwd_3m,432,-0.20115785264092118,2.5311379474390803e-05,0.1076465668142512,0.00016204501704738855,0.24397269340018243
cell_optimism_confidence__corporate_earnings,GLD__fwd_1m,441,0.19859985546731923,2.6611974119465203e-05,0.3277802480434613,0.00016863301967538663,0.4564456091343105
cell_optimism_confidence__corporate_earnings,^IXIC__fwd_3m,432,0.19914212103193546,3.060359653054607e-05,0.034489458830806945,0.00019196801460069808,0.16518289298362202
cell_fear_anxiety__markets_themselves,GC=F__fwd_3m,432,0.1969478211298638,3.7549115730376816e-05,0.4066259766398247,0.00023318000868564003,0.5195776368175538
cell_optimism_confidence__corporate_earnings,GC=F__fwd_1m,441,0.19384329989933122,4.165722533824262e-05,0.35962754709034755,0.0002561300686638482,0.4798737438517543
cell_fear_anxiety__monetary_policy,GC=F__fwd_3m,432,0.19563228079992523,4.240221015825918e-05,0.11774251413083943,0.00025815463243410733,0.2581111478718606
mean_intensity,^IXIC__fwd_3m,432,0.1943536240544123,4.7683012128924354e-05,0.2454431356376856,0.00028748689836953425,0.38160837997509767
cell_fear_anxiety__monetary_policy,GLD__fwd_3m,432,0.1914166338664623,6.225996581616976e-05,0.14393343511784512,0.00037176383434462903,0.2907034961217345
cell_fear_anxiety__markets_themselves,GLD__fwd_3m,432,0.19098695025392273,6.471611098392152e-05,0.46686665056862986,0.000379738028446808,0.5695956581593696
cell_optimism_confidence__growth_gdp,QQQ__fwd_3m,432,0.19096938987729706,6.481840743214437e-05,0.19829350989479297,0.000379738028446808,0.3460163557707377
net_valence_mean,^IXIC__fwd_3m,432,-0.1894026973177421,7.458458812774624e-05,0.29338850872886263,0.0004328694320311254,0.4297034526429804
share_fear_anxiety,^VIX__fwd_3m,432,-0.18475371641386054,0.00011236745834361158,0.7178092975645949,0.0006461128854757666,0.7738881489368289
cell_optimism_confidence__corporate_earnings,QQQ__fwd_3m,432,0.18366081429476677,0.00012355548283692863,0.03174342227917083,0.0007039261912085567,0.16291458872202552
mean_intensity,^GSPC__fwd_3m,432,0.18252232290849976,0.00013631771114481405,0.21581583392118084,0.0007695754420084501,0.35361908407665776
mean_intensity,GLD__fwd_1m,441,0.17913026763383474,0.00015576709455172557,0.1745056870625711,0.000871453745194789,0.32641946828713386
cell_fear_anxiety__monetary_policy,^IXIC__fwd_1m,441,0.17877537605227348,0.00016060253756412232,0.08197763065613363,0.0008904837127439282,0.21730741322707525
net_valence_mean,GLD__fwd_1m,441,-0.17839266197011108,0.00016597462362805704,0.34770929734436906,0.000912126028964809,0.4704302258188523
mean_intensity,QQQ__fwd_3m,432,0.17988467151382326,0.00017079549215598877,0.281195389973025,0.0009303859704286756,0.41976523358953977
cell_optimism_confidence__growth_gdp,^GSPC__fwd_3m,432,0.17973370517607767,0.0001729974678868569,0.19816882205801506,0.0009341863265890274,0.3460163557707377
mean_intensity,GC=F__fwd_1m,441,0.17772925997021,0.00017568777852134434,0.14460197819628845,0.0009405354350151279,0.2907034961217345
cell_optimism_confidence__growth_gdp,SPY__fwd_3m,432,0.17877406739408375,0.00018762874785692958,0.20340262479904966,0.0009958756617021646,0.3460163557707377
cell_fear_anxiety__monetary_policy,GC=F__fwd_1m,441,0.1765482188681634,0.00019431066070791766,0.0409341632660349,0.0010226010194882785,0.17867880109125153
net_valence_mean,GC=F__fwd_1m,441,-0.17561447048603396,0.00021032605650398396,0.2827153857790482,0.0010904931716319611,0.4200152092008559
cell_fear_anxiety__monetary_policy,GLD__fwd_1m,441,0.1755921656643308,0.00021072331818975095,0.06311429189536605,0.0010904931716319611,0.20122311347710878
cell_fear_anxiety__monetary_policy,QQQ__fwd_1m,441,0.1753660835686768,0.00021478979681857215,0.10697163803122392,0.0011023509406969695,0.24396581217624738
net_valence_mean,QQQ__fwd_3m,432,-0.17634482378071228,0.00023001201149267962,0.26268532910440184,0.0011707988453848691,0.3972242687483964
mean_intensity,SPY__fwd_3m,432,0.1759009201405171,0.00023866509358458078,0.2157961477554498,0.0012049676676099566,0.35361908407665776
emo_confusion_uncertainty,^VIX__fwd_3m,432,-0.17544473444614211,0.0002478740206307019,0.21135272020151719,0.0012413690871908537,0.35309102284187194
share_confusion_uncertainty,GLD__fwd_1m,441,-0.1716427071395409,0.0002932672473926879,0.21435493247193474,0.0014569516850468733,0.35309102284187194
cell_optimism_confidence__corporate_earnings,^GSPC__fwd_3m,432,0.17306257027280839,0.0003016005713783012,0.09865902277020534,0.001486459958935913,0.2290288570522398
cell_anger_disgust__fiscal_taxes,GC=F__fwd_1m,441,0.1694994327265765,0.00034984164732895806,0.0055225496683314265,0.0017007582484227888,0.0872761925669314
cell_optimism_confidence__corporate_earnings,SPY__fwd_3m,432,0.17121480235083347,0.000350558866019512,0.10725067105332614,0.0017007582484227888,0.24396581217624738
share_confusion_uncertainty,GC=F__fwd_1m,441,-0.16823208979208684,0.00038792171114736474,0.24808056923246585,0.001867437074593128,0.3823094021384586
emo_excitement_euphoria,ETH-USD__fwd_3m,433,0.16827801135474638,0.0004370697737215571,0.046916127597654754,0.0020878486883160532,0.18796719508479742
cell_fear_anxiety__inflation,BTC-USD__fwd_3m,433,-0.1679937543587794,0.00044709767354755094,0.7570324274580607,0.002107650220760265,0.7968087075448401
cell_optimism_confidence__growth_gdp,GC=F__fwd_1m,441,0.1664507571281185,0.0004480029454756119,0.005617429395111468,0.002107650220760265,0.0872761925669314
cell_anger_disgust__fiscal_taxes,GLD__fwd_1m,441,0.16449303536031396,0.0005239519441748568,0.0047572631752357715,0.002446422235583354,0.0872761925669314
emo_fear_anxiety,^VIX__fwd_3m,432,-0.16595461986967255,0.0005334877119494965,0.44182516218890794,0.002472357232243562,0.5476515483419397
emo_excitement_euphoria,^VIX__fwd_3m,432,-0.1656929980214219,0.0005445721549989832,0.08973518848959658,0.0025050319129953226,0.2229022082081579
emo_optimism_confidence,ETH-USD__fwd_3m,433,0.16520055575442594,0.000557671939769285,0.08102742879980512,0.002546428489681809,0.21730741322707525
cell_fear_anxiety__monetary_policy,^VIX__fwd_3m,432,-0.1650816089113283,0.0005713145207332216,0.8261745914484959,0.002589681148725041,0.8508365195514361
emo_optimism_confidence,^VIX__fwd_3m,432,-0.16267983246301718,0.0006886054349005448,0.24580249917880687,0.0030907776103614787,0.38160837997509767
cell_fear_anxiety__markets_themselves,GC=F__fwd_1m,441,0.1609641221288695,0.0006918165665704437,0.08198717285248214,0.0030907776103614787,0.21730741322707525
net_valence_mean,^GSPC__fwd_3m,432,-0.16235917797215596,0.0007058521708344347,0.33846197925078825,0.0031309585577727426,0.4655269675316122
