date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2024-03-22,5275,-682.06,-0.12930047393364927,0.489903317535545,1229,0.23298578199052133,494,0.09364928909952606,387,0.07336492890995261,710,0.13459715639810427,1849,0.350521327014218,441,0.08360189573459716,163,0.030900473933649288,1.75,3.5,4.25,61.38,47.62,69.75
2024-03-29,3679,-721.48,-0.19610763794509378,0.49076651263930415,738,0.2005979885838543,240,0.0652351182386518,328,0.08915466159282413,586,0.15928241369937482,1364,0.3707529219896711,322,0.08752378363685784,100,0.02718129926610492,3.13,4.0,2.0,34.76,42.0,32.88
2024-04-05,3698,-214.06,-0.05788534342888048,0.4767009194159005,1130,0.3055705786911844,325,0.08788534342888048,311,0.08409951325040563,409,0.11060032449972958,1062,0.2871822606814494,343,0.09275283937263386,118,0.0319091400757166,2.0,5.25,3.5,44.76,11.75,19.75
2024-04-12,3268,-406.68,-0.12444308445532436,0.47918298653610775,737,0.2255201958384333,306,0.09363525091799266,270,0.08261933904528763,434,0.13280293757649939,1091,0.33384332925336596,329,0.10067319461444309,101,0.03090575275397797,3.5,5.75,5.25,40.13,19.5,25.5
2024-04-19,3263,-577.25,-0.17690775360098068,0.4924118908979467,751,0.23015629788538156,194,0.059454489733374194,288,0.08826233527428747,400,0.1225865767698437,1284,0.3935029114311983,278,0.08519767085504137,68,0.02083971805087343,3.5,1.0,2.0,43.75,31.0,24.0
2024-04-26,2682,-450.28,-0.16788963460104397,0.4842244593586876,604,0.22520507084265473,147,0.05480984340044743,215,0.08016405667412378,325,0.12117822520507084,1042,0.38851603281133484,283,0.10551826994780016,63,0.02348993288590604,1.0,2.0,3.0,27.5,30.25,20.25
2024-05-03,2712,-520.91,-0.1920759587020649,0.4851290560471977,628,0.23156342182890854,138,0.05088495575221239,250,0.09218289085545722,328,0.12094395280235988,1128,0.415929203539823,197,0.07264011799410029,42,0.015486725663716814,5.0,3.88,1.5,25.13,15.5,11.0
2024-05-10,2149,-499.42,-0.23239646347138204,0.4893252675663099,376,0.17496510004653326,119,0.05537459283387622,179,0.0832945556072592,245,0.11400651465798045,978,0.4550953932061424,195,0.09073987901349465,57,0.02652396463471382,0.0,0.5,1.5,17.13,48.75,12.75
2024-05-17,2287,-283.96,-0.12416265850459116,0.47516834280717096,539,0.23567993003935286,184,0.0804547442063839,235,0.10275470048097946,347,0.15172715347616966,682,0.29820725841714035,224,0.09794490599038042,76,0.03323130738959335,3.25,1.0,5.0,38.14,10.0,10.75
2024-05-24,2125,-319.15,-0.15018823529411765,0.4934305882352941,488,0.2296470588235294,162,0.07623529411764705,156,0.07341176470588236,242,0.11388235294117648,829,0.3901176470588235,209,0.09835294117647059,39,0.01835294117647059,1.25,2.0,2.0,18.5,20.0,29.5
2024-05-31,2566,-463.53,-0.18064302416212003,0.48940374123148866,580,0.2260327357755261,140,0.05455962587685113,222,0.08651597817614964,431,0.16796570537802027,907,0.3534684333593141,221,0.08612626656274357,65,0.02533125487139517,0.0,1.75,2.5,38.51,17.75,18.0
2024-06-07,2487,-156.19,-0.06280257338158424,0.4734016887816646,679,0.2730197024527543,263,0.10574989947728186,228,0.09167671893848009,329,0.13228789706473662,656,0.2637716123843989,211,0.0848411741053478,118,0.04744672295938882,1.5,2.0,1.5,42.51,12.0,31.0
2024-06-14,2805,-577.9,-0.20602495543672014,0.4919144385026738,607,0.21639928698752228,131,0.04670231729055258,239,0.08520499108734403,392,0.13975044563279856,1105,0.3939393939393939,258,0.09197860962566845,73,0.02602495543672014,0.25,3.75,4.5,24.75,32.5,43.0
2024-06-21,2665,-192.03,-0.0720562851782364,0.48256285178236397,781,0.2930581613508443,220,0.0825515947467167,201,0.07542213883677298,322,0.12082551594746717,813,0.3050656660412758,268,0.10056285178236397,60,0.0225140712945591,0.5,2.5,7.5,33.38,12.75,37.5
2024-06-28,2047,-182.79,-0.08929653150952613,0.47219833903273084,566,0.2765021983390327,147,0.0718124084025403,160,0.07816316560820713,294,0.1436248168050806,577,0.281875915974597,239,0.1167562286272594,64,0.03126526624328285,1.25,1.25,2.25,27.38,11.25,28.63
2024-07-05,3349,-547.44,-0.16346372051358615,0.49823230815168706,796,0.23768289041504928,246,0.07345476261570619,265,0.07912809793968349,422,0.12600776351149598,1315,0.3926545237384294,226,0.06748283069573006,79,0.023589131083905642,1.0,6.75,1.5,32.63,14.25,67.75
2024-07-12,3038,-459.42,-0.15122448979591838,0.4849242922975642,716,0.23568136932192232,208,0.0684660961158657,283,0.09315339038841343,434,0.14285714285714285,1043,0.3433179723502304,281,0.09249506254114549,73,0.02402896642527979,3.0,3.25,3.25,38.14,24.25,22.5
2024-07-19,2683,-390.05,-0.14537830786433098,0.48683935892657476,670,0.24972046216921356,182,0.06783451360417443,232,0.08647036898993664,336,0.12523294819232203,964,0.3592992918374953,212,0.07901602683563176,87,0.03242638837122624,1.0,4.75,1.5,29.38,26.75,14.63
2024-07-26,2548,-428.16,-0.16803767660910518,0.49277472527472527,574,0.22527472527472528,168,0.06593406593406594,216,0.0847723704866562,302,0.1185243328100471,977,0.3834379905808477,233,0.09144427001569859,77,0.03021978021978022,0.0,0.5,2.0,27.63,12.0,20.88
2024-08-02,2451,-359.64,-0.14673194614443083,0.4917584659322725,607,0.24765401876784987,184,0.07507139942880457,239,0.09751121991024071,259,0.10567115463076296,905,0.3692370461036312,197,0.08037535699714403,60,0.02447980416156671,2.75,2.0,0.0,30.88,41.0,37.5
2024-08-09,3266,-126.06,-0.03859767299448867,0.4776821800367422,1077,0.32976117575015307,261,0.07991426821800367,298,0.09124311083894672,419,0.1282914880587875,813,0.24892835272504593,305,0.09338640538885487,93,0.028475199020208206,0.5,5.25,6.5,64.88,6.75,19.5
2024-08-16,3039,-695.95,-0.22900625205659758,0.4969101678183613,610,0.20072392234287595,136,0.04475156301414939,290,0.09542612701546561,404,0.13293846660085554,1288,0.4238236261928266,241,0.0793024021059559,70,0.02303389272787101,0.0,2.25,5.25,30.4,15.25,17.25
2024-08-23,3158,-368.26,-0.11661177960734642,0.4821374287523749,846,0.26789107029765674,245,0.07758074730842306,236,0.07473084230525649,365,0.1155794806839772,1111,0.35180493983533884,249,0.07884737175427486,104,0.032932235592146926,2.25,3.5,2.25,36.01,7.75,25.13
2024-08-30,2624,-302.16,-0.11515243902439025,0.4775114329268293,723,0.27553353658536583,190,0.07240853658536585,299,0.11394817073170732,329,0.1253810975609756,801,0.3052591463414634,215,0.0819359756097561,67,0.025533536585365852,0.5,5.75,1.75,58.88,29.25,19.25
2024-09-06,2581,-265.89,-0.10301820999612553,0.4760596667958156,692,0.26811313444401397,209,0.08097636574970941,246,0.09531189461449051,340,0.13173188686555598,793,0.3072452537776056,244,0.09453700116234018,56,0.02169701666020922,1.0,3.5,3.0,27.75,15.25,23.0
2024-09-13,2473,-401.4,-0.1623129801860089,0.4842539425798625,576,0.2329154872624343,158,0.06389001213101496,190,0.07682976142337242,270,0.10917913465426607,999,0.40396279822078446,216,0.08734330772341285,64,0.02587949858471492,1.25,1.5,4.0,17.88,30.5,8.0
2024-09-20,2880,-283.89,-0.09857291666666666,0.47819791666666667,799,0.27743055555555557,217,0.07534722222222222,288,0.1,410,0.1423611111111111,805,0.2795138888888889,258,0.08958333333333333,103,0.03576388888888889,5.75,8.25,1.75,37.75,9.5,14.0
2024-09-27,2380,-241.03,-0.10127310924369748,0.4829537815126051,638,0.2680672268907563,216,0.0907563025210084,207,0.08697478991596638,268,0.11260504201680673,784,0.32941176470588235,198,0.08319327731092437,67,0.02815126050420168,0.0,6.75,3.5,42.38,5.75,9.75
2024-10-04,2117,-224.53,-0.10606046291922532,0.4849126121870571,580,0.273972602739726,166,0.07841284837033538,186,0.08786017949929145,186,0.08786017949929145,758,0.35805384978743504,190,0.08974964572508266,50,0.023618327822390175,1.25,1.0,3.0,28.88,7.38,14.25
2024-10-11,2046,-233.53,-0.11413978494623656,0.47809384164222873,541,0.2644183773216031,155,0.07575757575757576,224,0.10948191593352884,206,0.10068426197458455,679,0.33186705767350927,197,0.09628543499511241,42,0.020527859237536656,2.62,4.25,0.5,27.0,11.75,4.5
2024-10-18,2117,-271.51,-0.12825224374114313,0.47185640056683986,558,0.26358053849787433,129,0.06093528578176665,223,0.10533774208786018,247,0.11667453944260746,675,0.31884742560226736,223,0.10533774208786018,60,0.02834199338686821,2.5,1.5,2.5,26.26,6.5,7.75
2024-10-25,2104,-340.53,-0.16184885931558934,0.4746577946768061,487,0.2314638783269962,129,0.06131178707224334,243,0.11549429657794677,249,0.11834600760456274,732,0.34790874524714827,213,0.10123574144486693,50,0.02376425855513308,2.5,1.5,1.5,34.02,17.0,4.0
2024-11-01,3022,-664.31,-0.21982461945731302,0.496101919258769,557,0.1843150231634679,157,0.051952349437458634,242,0.0800794176042356,366,0.12111184645929848,1303,0.4311714096624752,267,0.08835208471211119,128,0.042356055592322965,0.5,2.75,4.5,28.76,13.25,17.0
2024-11-08,2847,-448.68,-0.15759747102212857,0.4923041798384264,646,0.22690551457674746,192,0.06743940990516333,309,0.10853530031612224,388,0.13628380751668423,955,0.3354408148928697,291,0.10221285563751317,65,0.0228310502283105,3.0,3.5,1.5,46.26,39.5,15.88
2024-11-15,4109,-516.33,-0.1256583110245802,0.4833292771963982,1104,0.2686785105865174,285,0.06935994159162813,414,0.10075444146994403,615,0.14967145290825018,1282,0.3119980530542711,301,0.07325383304940375,107,0.026040399123874423,3.5,2.88,4.5,68.39,30.0,21.26
2024-11-22,3505,-493.92,-0.14091868758915835,0.49186875891583454,820,0.23395149786019973,284,0.08102710413694722,375,0.10699001426533523,552,0.15748930099857347,1081,0.30841654778887306,283,0.08074179743223965,110,0.03138373751783167,5.75,3.0,0.5,59.27,29.25,24.89
2024-11-29,5157,-935.19,-0.18134380453752183,0.49701764591816944,1184,0.2295908473918945,278,0.05390731045181307,441,0.08551483420593368,659,0.12778747333721155,2073,0.401977894124491,416,0.08066705448904402,106,0.020554585999612178,2.75,2.0,2.0,57.63,23.75,33.0
2024-12-06,4748,-459.45,-0.0967670598146588,0.4930181128896377,1311,0.2761162594776748,425,0.08951137320977254,459,0.09667228306655434,605,0.12742207245155854,1471,0.30981465880370684,383,0.08066554338668913,94,0.019797809604043808,1.75,3.5,9.25,73.51,29.5,19.25
2024-12-13,4190,-496.18,-0.1184200477326969,0.4882124105011933,1105,0.2637231503579952,330,0.07875894988066826,345,0.08233890214797136,403,0.09618138424821003,1537,0.36682577565632457,347,0.08281622911694511,122,0.029116945107398567,3.88,2.5,5.25,44.88,32.25,58.13
2024-12-20,4532,-424.45,-0.09365622241835833,0.48918799646954986,1254,0.2766990291262136,386,0.0851721094439541,389,0.08583406884377758,650,0.1434245366284201,1380,0.30450132391879964,383,0.08451015004413062,89,0.01963812886142983,1.5,1.5,4.0,75.26,21.0,59.63
2024-12-27,3859,-348.56,-0.0903239181135009,0.48541850220264315,1115,0.28893495724280904,313,0.08110909562062711,444,0.11505571391552216,497,0.1287898419279606,1077,0.27908784659238145,317,0.08214563358383001,96,0.024876911116869654,2.5,3.75,6.63,81.27,20.25,29.25
2025-01-03,4421,-444.49,-0.10054060167382946,0.4806446505315539,1271,0.2874915177561638,319,0.07215562090024881,420,0.09500113096584484,636,0.14385885546256502,1305,0.2951820855010179,340,0.07690567744854106,126,0.02850033928975345,1.38,1.0,3.25,67.15,41.5,53.88
2025-01-10,4893,-380.24,-0.07771101573676681,0.48674841610463926,1432,0.2926629879419579,426,0.08706315144083385,474,0.09687308399754752,590,0.12058042100960556,1453,0.29695483343552015,392,0.08011444921316166,126,0.02575107296137339,3.25,3.75,4.25,85.53,17.0,59.5
2025-01-17,4434,-600.17,-0.13535633739287325,0.4907465042850699,1150,0.2593594948128101,297,0.06698240866035182,404,0.09111411817771764,644,0.14524131709517366,1460,0.3292737934145241,354,0.07983761840324763,123,0.02774018944519621,5.0,2.75,6.38,57.01,25.75,39.38
