week,ticker,net_val,n_fear,n_pairs,n_comments
2020-12-05,COST,0.0,0,2,2
2020-12-12,COST,0.5,0,2,1
2020-12-19,COST,-0.5,0,5,5
2020-12-26,COST,-1.5,0,3,2
2021-01-02,COST,-1.0,2,4,1
2021-01-09,COST,1.0,0,8,6
2021-01-16,COST,-1.25,0,2,2
2021-01-23,COST,-0.5,0,1,1
2021-01-30,COST,0.0,0,3,3
2021-02-06,COST,0.5,0,4,1
2021-02-13,COST,0.5,0,1,1
2021-02-20,COST,0.0,0,3,3
2021-02-27,COST,-4.0,1,27,18
2021-03-06,COST,1.75,1,5,3
2021-03-13,COST,-5.0,0,14,8
2021-03-20,COST,-2.5,0,5,3
2021-03-27,COST,-0.75,0,1,1
2021-04-03,COST,-0.5,0,1,1
2021-04-10,COST,0.0,0,1,1
2021-04-17,COST,-0.5,1,5,2
2021-05-01,COST,-1.5,0,4,3
2021-05-08,COST,-0.5,0,1,1
2021-05-15,COST,1.0,0,2,1
2021-05-22,COST,-1.5,0,4,2
2021-06-05,COST,-2.5,0,5,3
2021-06-12,COST,-0.75,0,2,2
2021-06-19,COST,-1.5,0,3,2
2021-07-03,COST,1.0,0,2,2
2021-07-17,COST,-1.5,2,3,2
2021-07-31,COST,-0.25,0,2,1
2021-08-07,COST,-3.0,0,6,4
2021-08-14,COST,0.12,0,6,5
2021-09-04,COST,0.5,0,3,2
2021-09-25,COST,-1.0,2,6,2
2021-10-02,COST,0.5,0,1,1
2021-10-30,COST,0.0,0,1,1
2021-11-06,COST,-0.25,0,5,4
2021-11-13,COST,0.5,0,2,2
2021-11-20,COST,-0.5,0,1,1
2021-11-27,COST,-0.25,0,2,1
2021-12-04,COST,0.25,0,3,2
2021-12-18,COST,0.5,0,1,1
2021-12-25,COST,-0.5,0,2,2
2022-01-01,COST,0.5,0,1,1
2022-01-08,COST,-0.5,0,3,3
2022-01-15,COST,-0.75,2,7,5
2022-01-22,COST,-0.25,0,9,4
2022-02-05,COST,0.0,0,1,1
2022-02-12,COST,0.25,0,2,1
2022-02-19,COST,-0.5,0,1,1
2022-02-26,COST,0.5,0,1,1
2022-03-05,COST,1.0,0,2,2
2022-03-19,COST,0.0,0,1,1
2022-04-09,COST,2.25,0,7,4
2022-04-16,COST,0.5,0,1,1
2022-04-23,COST,-1.75,2,9,4
2022-04-30,COST,0.5,0,1,1
2022-05-07,COST,-0.5,0,2,2
2022-05-14,COST,-2.76,1,31,27
2022-05-21,COST,-2.0,0,13,9
2022-05-28,COST,-0.5,0,1,1
2022-06-04,COST,-0.5,0,2,2
2022-06-11,COST,-0.5,0,1,1
2022-07-02,COST,0.5,0,1,1
2022-07-16,COST,-0.5,0,1,1
2022-07-30,COST,-3.0,0,5,3
2022-08-06,COST,0.0,0,1,1
2022-08-20,COST,1.5,0,4,2
2022-09-03,COST,0.25,0,1,1
2022-09-10,COST,-0.5,0,3,2
2022-09-17,COST,0.5,0,1,1
2022-09-24,COST,0.0,0,2,2
2022-10-01,COST,1.0,0,3,2
2022-10-08,COST,0.5,0,1,1
2022-10-15,COST,-1.75,0,8,5
2022-10-22,COST,-0.5,0,2,2
2022-11-19,COST,0.5,0,1,1
2022-12-03,COST,-3.75,0,6,1
2022-12-24,COST,-0.5,0,1,1
2022-12-31,COST,1.5,0,6,2
2023-01-07,COST,-0.5,0,1,1
2023-01-14,COST,0.0,0,1,1
2023-01-21,COST,-0.5,0,1,1
2023-01-28,COST,0.75,0,1,1
2023-02-11,COST,-0.75,0,3,2
2023-02-25,COST,-0.5,0,1,1
2023-03-18,COST,1.5,0,3,2
2023-04-08,COST,0.5,0,1,1
2023-04-15,COST,-0.5,0,1,1
2023-04-29,COST,-2.25,0,3,1
2023-06-03,COST,0.5,0,2,2
