date,n,dead,removed,dead_rate,removed_rate
2018-08-10,5048,1057,845,0.20938985736925514,0.1673930269413629
2018-08-17,6026,847,643,0.1405575838035181,0.10670428144706273
2018-08-24,5932,732,481,0.12339851652056642,0.08108563722184761
2018-08-31,6776,880,579,0.12987012987012986,0.08544864226682408
2018-09-07,4489,678,476,0.15103586544887504,0.10603697928269103
2018-09-14,5864,963,746,0.16422237380627558,0.1272169167803547
2018-09-21,4785,876,682,0.18307210031347962,0.1425287356321839
2018-09-28,4378,840,717,0.19186843307446322,0.16377341251713112
2018-10-05,5519,526,314,0.0953071208552274,0.05689436492118137
2018-10-12,4346,478,306,0.10998619420156466,0.0704095720202485
2018-10-19,5467,991,837,0.18126943479056154,0.1531004207060545
2018-10-26,5140,837,668,0.16284046692607004,0.12996108949416343
2018-11-02,7292,739,498,0.10134393856280856,0.06829402084476138
2018-11-09,6945,680,343,0.09791216702663787,0.049388048956083515
2018-11-16,6930,851,429,0.1227994227994228,0.06190476190476191
2018-11-23,6918,635,326,0.0917895345475571,0.04712344608268285
2018-11-30,7197,1187,842,0.1649298318743921,0.11699319160761429
2018-12-07,8958,1081,681,0.12067425764679617,0.07602143335565975
2018-12-14,7610,829,515,0.10893561103810775,0.06767411300919843
2018-12-21,6673,939,637,0.14071631949647834,0.09545931365203057
2018-12-28,7124,861,651,0.12085906793935991,0.09138124649073555
2019-01-04,7756,1022,702,0.13176895306859207,0.09051057246003094
2019-01-11,13168,1878,1310,0.14261846901579586,0.09948359659781288
2019-01-18,7554,832,506,0.11014032300767805,0.06698437913688113
2019-01-25,8896,1543,1228,0.17344874100719423,0.13803956834532374
2019-02-01,8461,821,505,0.09703344758302801,0.05968561635740456
2019-02-08,9366,969,543,0.10345932094811018,0.05797565663036515
2019-02-15,11833,1168,581,0.09870700583115018,0.04909997464717316
2019-02-22,12516,1094,405,0.08740811760945989,0.03235858101629914
2019-03-01,10004,900,373,0.0899640143942423,0.03728508596561375
2019-03-08,8145,795,438,0.09760589318600368,0.053775322283609574
2019-03-15,7536,763,417,0.10124734607218684,0.0553343949044586
2019-03-22,9229,746,387,0.08083215949723697,0.04193303716545671
2019-03-29,6971,408,182,0.05852818820829149,0.02610816238703199
2019-04-05,7545,741,435,0.09821073558648111,0.05765407554671968
2019-04-12,8508,721,226,0.08474377056887634,0.026563234602726846
2019-04-19,8239,568,244,0.06894040538900352,0.029615244568515598
2019-04-26,8712,633,263,0.07265840220385675,0.030188246097337005
2019-05-03,9432,644,101,0.06827820186598813,0.010708227311280747
2019-05-10,8936,620,113,0.0693822739480752,0.012645478961504029
2019-05-17,7054,454,118,0.06436064644173518,0.01672809753331443
2019-05-24,8772,594,99,0.0677154582763338,0.011285909712722298
2019-05-31,7275,577,230,0.0793127147766323,0.03161512027491409
2019-06-07,8466,695,186,0.08209307819513348,0.021970233876683204
2019-06-14,8878,1138,676,0.12818202297814824,0.07614327551250281
2019-06-21,5808,673,391,0.11587465564738292,0.06732093663911845
2019-06-28,11294,1697,1062,0.15025677350805738,0.09403222950239065
2019-07-05,7741,878,438,0.11342203849631831,0.05658183697196745
2019-07-12,12274,2091,1421,0.1703601108033241,0.11577317907772527
2019-07-19,8416,1167,720,0.13866444866920152,0.08555133079847908
2019-07-26,6398,869,543,0.1358236949046577,0.08487027195998749
