date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2022-09-23,4227,-1799.91,-0.4258126330731015,0.5380529926661934,321,0.07594038325053229,36,0.008516678495386799,225,0.053229240596167494,785,0.18571090607996216,2515,0.5949846226638278,268,0.06340193991010172,77,0.018216229004021766,15.75,22.0,7.0,3.5,215.38,0.0
2022-09-30,6445,-2789.93,-0.4328828549262994,0.5434429790535298,488,0.07571761055081458,40,0.0062063615205585725,362,0.05616757176105508,1137,0.17641582622187743,3898,0.6048099301784329,415,0.0643910007757952,105,0.016291698991466253,11.0,40.75,8.5,21.25,570.86,1.25
2022-10-07,4949,-2139.79,-0.4323681551828652,0.5429480703172358,353,0.07132754091735705,59,0.011921600323297636,214,0.04324105879975753,891,0.1800363709840372,3057,0.6177005455647605,300,0.06061830672863205,75,0.015154576682158012,5.25,27.25,15.38,5.0,391.11,0.5
2022-10-14,7168,-3238.13,-0.45174804687500003,0.5530580357142857,486,0.06780133928571429,82,0.011439732142857142,335,0.04673549107142857,1093,0.15248325892857142,4730,0.6598772321428571,339,0.04729352678571429,103,0.014369419642857142,8.5,44.5,20.0,13.5,597.5,6.75
2022-10-21,5011,-2287.68,-0.4565316304130912,0.548886449810417,283,0.05647575334264618,27,0.005388146078627021,284,0.056675314308521255,887,0.1770105767311914,3143,0.6272201157453602,310,0.0618638994212732,77,0.015366194372380763,7.25,22.75,17.75,9.5,419.49,0.5
2022-10-28,5726,-2445.61,-0.42710618232623127,0.5374746769123298,427,0.0745721271393643,52,0.009081383164512749,247,0.043136570031435555,1036,0.18092909535452323,3495,0.6103737338456164,364,0.06356968215158924,104,0.018162766329025498,9.25,16.5,26.38,7.0,395.04,13.75
2022-11-04,5292,-2367.11,-0.4472996976568405,0.5419368858654573,352,0.06651549508692366,33,0.006235827664399093,249,0.04705215419501134,872,0.16477702191987906,3403,0.6430461073318217,303,0.0572562358276644,80,0.015117157974300832,16.5,22.5,13.75,10.25,337.49,3.0
2022-11-11,6270,-2914.27,-0.4647958532695375,0.5509537480063796,338,0.05390749601275917,51,0.008133971291866028,227,0.03620414673046252,928,0.14800637958532695,4299,0.6856459330143541,336,0.053588516746411484,91,0.014513556618819777,7.13,17.75,9.0,5.0,767.74,5.25
2022-11-18,4577,-1865.38,-0.4075551671400481,0.5359820843347171,435,0.09504041948874808,49,0.010705702425169324,226,0.04937732138955648,833,0.18199694122787852,2719,0.5940572427354162,241,0.05265457723399607,74,0.016167795499235308,3.5,29.75,11.25,5.62,265.0,7.5
2022-11-25,3482,-1467.63,-0.4214905226881103,0.540433658816772,306,0.08788052843193567,38,0.010913268236645606,144,0.04135554279149914,622,0.17863296955772545,2158,0.6197587593337163,156,0.04480183802412407,58,0.01665709362435382,2.0,8.5,3.75,1.25,138.12,4.0
2022-12-02,6191,-2691.39,-0.43472621547407525,0.5488967856565983,470,0.07591665320626716,88,0.014214181876918107,268,0.043288644806977875,794,0.12825068648037474,4139,0.6685511225973186,325,0.052495558068163466,107,0.017283152963979972,2.63,14.5,10.63,6.25,268.75,5.75
2022-12-09,5583,-2462.16,-0.4410102095647501,0.548149740283002,415,0.07433279598782017,55,0.009851334408024359,238,0.04262941071108723,873,0.15636754433100483,3651,0.6539494895217625,239,0.04280852588214222,112,0.020060899158158695,2.5,8.5,11.25,6.5,453.37,3.0
2022-12-16,6394,-2754.76,-0.4308351579605881,0.5438786362214576,532,0.08320300281513919,69,0.01079136690647482,305,0.04770096965905536,1105,0.17281826712543008,4001,0.6257428839537066,291,0.04551141695339381,91,0.014232092586800126,10.63,14.63,11.75,5.0,526.12,9.5
2022-12-23,7363,-3347.18,-0.45459459459459456,0.5547996740459051,485,0.06586988999049301,102,0.013853049028928427,267,0.036262393046312645,991,0.13459187831047129,5081,0.690071981529268,342,0.04644845850876002,95,0.012902349585766672,6.25,12.5,20.26,6.5,418.75,2.5
2022-12-30,6000,-2716.76,-0.4527933333333334,0.550395,402,0.067,60,0.01,194,0.03233333333333333,841,0.14016666666666666,4115,0.6858333333333333,277,0.04616666666666667,109,0.018166666666666668,9.0,9.75,22.51,4.0,575.0,4.0
2023-01-06,6382,-2683.71,-0.42051237856471324,0.5389627076151676,544,0.08523973675963648,84,0.013162018176120338,215,0.03368849890316515,1037,0.16248824819805704,4091,0.6410216233155751,292,0.04575368223127546,118,0.018489501723597618,3.5,10.25,14.38,4.75,192.38,8.75
2023-01-13,8594,-3912.72,-0.45528508261577844,0.5523679311147313,592,0.06888526879218058,67,0.007796136839655574,405,0.04712590179194787,1343,0.1562718175471259,5659,0.6584826623225506,412,0.04794042355131487,116,0.013497789155224576,4.25,21.75,12.5,8.25,1059.33,6.0
2023-01-20,10038,-4735.41,-0.47174835624626416,0.5578700936441522,601,0.059872484558677025,90,0.008965929468021518,329,0.03277545327754533,1496,0.14903367204622434,7003,0.6976489340506077,393,0.03915122534369396,126,0.012552301255230125,2.5,14.0,16.5,4.25,1286.25,4.5
2023-01-27,8234,-3778.35,-0.45887175127520036,0.5501153752732572,506,0.061452513966480445,85,0.010323050765120233,366,0.044449842118047124,1371,0.16650473645858635,5428,0.659217877094972,332,0.04032062181199903,146,0.017731357784794753,3.88,11.51,17.0,7.0,710.62,1.75
2023-02-03,8495,-3761.92,-0.4428393172454385,0.5485108887580931,602,0.07086521483225426,80,0.009417304296645085,318,0.037433784579164214,1570,0.1848145968216598,5336,0.6281341965862272,373,0.04390818128310771,214,0.025191288993525605,7.25,8.13,9.5,7.5,620.51,2.75
