date,n_pairs,net_valence,net_valence_mean,mean_intensity,emo_optimism_confidence,share_optimism_confidence,emo_excitement_euphoria,share_excitement_euphoria,emo_fear_anxiety,share_fear_anxiety,emo_pessimism_despair,share_pessimism_despair,emo_anger_disgust,share_anger_disgust,emo_confusion_uncertainty,share_confusion_uncertainty,emo_surprise,share_surprise,cell_fear_anxiety__inflation,cell_fear_anxiety__monetary_policy,cell_optimism_confidence__growth_gdp,cell_fear_anxiety__markets_themselves,cell_anger_disgust__fiscal_taxes,cell_optimism_confidence__corporate_earnings
2022-03-04,5543,-1858.61,-0.335307595165073,0.5208190510553852,653,0.11780624210716219,169,0.030488904925130796,463,0.08352877503157136,923,0.16651632689879126,2720,0.4907090023453004,447,0.08064225148836371,166,0.02994768176077936,4.5,17.5,4.5,31.12,92.67,9.25
2022-03-11,7741,-2628.43,-0.3395465702105671,0.5260521896395814,981,0.12672781294406407,208,0.02686991344787495,617,0.07970546441028291,1415,0.1827929208112647,3798,0.4906342849761013,567,0.07324635060069759,153,0.019764888257331095,28.62,24.25,8.75,49.14,175.87,13.25
2022-03-18,8138,-2558.43,-0.314380683214549,0.5242442860653723,1185,0.1456131727697223,244,0.029982796755959697,708,0.08699926271811256,1466,0.18014254116490538,3740,0.4595723765052839,624,0.07667731629392971,170,0.020889653477512902,21.25,39.25,15.5,59.63,163.74,37.38
2022-03-25,5462,-1703.66,-0.3119113877700476,0.5172995239838887,770,0.14097400219699743,165,0.03020871475649945,369,0.06755767118271695,846,0.1548883192969608,2731,0.5,440,0.08055657268399853,141,0.025814719882826805,10.5,9.75,12.0,37.5,247.12,23.0
2022-04-01,7464,-2514.27,-0.33685289389067524,0.5240286709539121,963,0.1290192926045016,218,0.029206859592711683,459,0.0614951768488746,1129,0.1512593783494105,3953,0.5296087888531619,579,0.07757234726688103,162,0.021704180064308683,11.0,13.25,10.25,39.01,668.92,42.75
2022-04-08,7033,-2327.46,-0.3309341674960899,0.5182027584245699,955,0.13578842599175317,168,0.02388738802786862,546,0.07763401109057301,1111,0.15796957201763118,3573,0.5080335560927058,541,0.07692307692307693,139,0.019763969856391297,14.5,36.88,23.25,42.51,209.25,27.75
2022-04-15,7081,-1864.23,-0.2632721367038554,0.5090481570399661,1112,0.15703996610648213,374,0.05281739867250388,375,0.052958621663606834,947,0.13373817257449513,3449,0.48707809631407994,630,0.08897048439485948,194,0.0273972602739726,7.13,10.38,6.88,42.63,117.25,87.75
2022-04-22,7037,-2112.29,-0.30016910615319026,0.5143129174364075,1077,0.15304817393775758,223,0.03168964047179196,416,0.05911610061105585,1084,0.15404291601534745,3515,0.49950262896120506,591,0.0839846525508029,130,0.01847378144095495,18.0,23.37,13.75,53.76,271.25,107.88
2022-04-29,8329,-2395.99,-0.28766838756153196,0.5112966742706208,1264,0.15175891463561053,306,0.036739104334253814,562,0.06747508704526353,1433,0.17204946572217553,3851,0.4623604274222596,698,0.08380357786048745,215,0.025813422979949575,21.38,36.0,19.13,65.01,336.45,96.75
2022-05-06,9429,-2853.82,-0.30266412132781845,0.5154470251352211,1383,0.1466751511294941,288,0.030544066178810055,595,0.06310319227913883,1529,0.16215929578958532,4604,0.4882808357195885,794,0.08420829356241383,235,0.02492310955562626,20.25,37.38,21.25,60.51,183.09,38.0
2022-05-13,11199,-3291.76,-0.2939333869095455,0.5177846236271095,1849,0.16510402714528083,327,0.02919903562818109,745,0.06652379676756853,1962,0.17519421376908653,5293,0.47263148495401375,817,0.07295294222698455,204,0.018215912135012054,16.13,46.51,21.25,115.16,345.75,41.75
2022-05-20,10596,-3719.1,-0.3509909399773499,0.5263882597206493,1335,0.12599093997734995,254,0.02397130992827482,671,0.06332578331445829,1939,0.1829935824839562,5506,0.5196300490751227,689,0.06502453756134391,202,0.019063797659494147,27.63,38.25,17.75,85.62,361.98,34.75
2022-05-27,7123,-2349.48,-0.3298441667836586,0.5178688754738172,963,0.13519584444756422,170,0.02386634844868735,479,0.06724694651130142,1362,0.19121156815948337,3475,0.4878562403481679,554,0.07777621788572231,119,0.016706443914081145,15.13,38.13,23.25,59.01,250.38,19.75
2022-06-03,6879,-2449.19,-0.35603866841110626,0.5248233754906236,876,0.12734409071085914,139,0.020206425352522168,439,0.06381741532199448,1069,0.15540049425788632,3814,0.5544410524785579,410,0.05960168629161215,131,0.01904346562000291,15.62,30.0,17.75,41.14,233.5,13.75
2022-06-10,8882,-3490.24,-0.3929565413195226,0.5322573744652106,877,0.09873902274262554,146,0.016437739247917135,493,0.055505516775501015,1532,0.1724836748480072,5120,0.5764467462283269,574,0.06462508444044134,140,0.015762215717180814,41.75,23.0,24.63,37.26,538.87,19.75
2022-06-17,11735,-4247.47,-0.36194887089902006,0.5262232637409459,1341,0.11427354069024287,218,0.018576906689390712,770,0.06561567959096719,2340,0.19940349382190029,5953,0.5072858968896463,903,0.07694929697486153,210,0.017895185342991053,32.88,60.88,38.39,62.25,413.25,13.88
2022-06-24,10299,-3809.55,-0.3698951354500437,0.5328604718904748,1181,0.11467132731333139,178,0.017283231381687542,554,0.0537916302553646,1739,0.1688513447907564,5706,0.5540343722691523,746,0.07243421691426352,193,0.01873968346441402,21.75,41.0,21.25,43.13,599.0,11.25
2022-07-01,6682,-2364.9,-0.35392098174199343,0.5248668063454055,823,0.12316671655193057,136,0.020353187668362766,441,0.06599820413049985,1202,0.17988626159832385,3485,0.5215504340017959,448,0.06704579467225381,147,0.021999401376833285,21.75,24.62,22.38,37.64,196.12,26.88
2022-07-08,5987,-1970.56,-0.32913980290629696,0.5189577417738434,792,0.13228662101219307,152,0.02538834140638049,347,0.05795891097377651,1006,0.16803073325538667,3083,0.5149490562886253,476,0.07950559545682312,131,0.021880741606814764,9.25,25.5,18.75,26.38,226.5,48.25
2022-07-15,7024,-2529.69,-0.3601494874715262,0.5230438496583144,785,0.11175968109339408,130,0.018507972665148063,420,0.05979498861047836,1247,0.17753416856492027,3690,0.5253416856492027,568,0.08086560364464693,183,0.02605353075170843,33.13,26.13,15.0,33.63,260.5,23.5
2022-07-22,7127,-2674.93,-0.37532341798793317,0.5271895608250315,728,0.10214676582012067,161,0.022590150133295916,367,0.0514943173845938,1186,0.16640942893222954,4060,0.5696646555352883,523,0.07338291006033394,102,0.014311772134137786,8.62,16.0,20.75,27.12,311.5,36.26
2022-07-29,7111,-2516.45,-0.3538813106454788,0.5240205315708057,778,0.10940795949936717,176,0.024750386724792576,381,0.053578962171283925,1181,0.16608072001125018,3838,0.5397271832372381,589,0.08282941920967515,167,0.023484741949092953,13.25,27.25,40.5,24.25,286.62,39.88
2022-08-05,5020,-1616.51,-0.3220139442231076,0.5151314741035856,653,0.1300796812749004,133,0.02649402390438247,361,0.07191235059760956,844,0.16812749003984065,2464,0.49083665338645416,412,0.08207171314741035,153,0.03047808764940239,9.75,18.0,25.25,27.88,126.25,24.0
2022-08-12,5355,-1812.61,-0.3384892623716153,0.5164985994397759,715,0.13352007469654528,110,0.02054154995331466,318,0.05938375350140056,785,0.1465919701213819,2908,0.5430438842203548,415,0.07749766573295985,104,0.01942110177404295,19.5,8.25,15.0,32.0,257.55,12.0
2022-08-19,4839,-1680.54,-0.34729076255424673,0.5199173382930358,516,0.10663360198388097,164,0.03389129985534201,259,0.05352345525935111,681,0.1407315561066336,2718,0.5616862988220707,400,0.08266170696424881,101,0.020872081008472824,4.63,16.0,11.0,30.89,268.0,7.75
2022-08-26,7272,-2647.5,-0.3640676567656766,0.5287444994499451,811,0.11152365236523652,187,0.025715071507150716,365,0.050192519251925194,962,0.1322882288228823,4309,0.5925467546754676,502,0.06903190319031903,136,0.0187018701870187,7.88,11.88,23.5,28.63,1034.86,5.75
2022-09-02,7891,-2905.07,-0.3681497909010265,0.5251641110125459,879,0.11139272589025472,152,0.019262450893422888,469,0.059434799138258776,1282,0.1624635660879483,4443,0.5630465086807755,529,0.06703839817513624,136,0.017234824483588897,9.37,32.0,11.88,34.26,556.38,15.75
2022-09-09,7320,-2483.67,-0.3392991803278689,0.5209153005464481,988,0.13497267759562842,164,0.022404371584699455,435,0.05942622950819672,1234,0.1685792349726776,3855,0.5266393442622951,511,0.0698087431693989,133,0.018169398907103826,9.25,17.75,11.25,53.75,161.5,31.75
2022-09-16,8221,-2723.49,-0.33128451526578273,0.5171305194015327,1107,0.13465515144143048,180,0.021895146575842354,562,0.0683615131979078,1503,0.18282447390828366,4066,0.49458703320763897,619,0.07529497628025787,183,0.02226006568543973,28.75,48.38,12.75,32.13,268.88,55.25
2022-09-23,8999,-2857.32,-0.3175152794754973,0.5158039782198023,1311,0.1456828536504056,202,0.022446938548727636,694,0.0771196799644405,1924,0.21380153350372263,3984,0.4427158573174797,717,0.0796755195021669,166,0.01844649405489499,24.25,46.5,25.0,91.63,302.5,12.75
