feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh,treatment
emo_fear_anxiety,QQQ__fwd_3m,431,-0.009214083459560088,0.8487309693932362,0.76727786938256,0.9955817789873233,0.8089635940349232,drop
mean_intensity,^GSPC__fwd_1m,440,-0.009105411044347776,0.8489507636842795,0.507938911965338,0.9955817789873233,0.6320064449983428,drop
share_pessimism_despair,SPY__fwd_3m,431,0.00917842974090976,0.8493093031207991,0.2068330736432122,0.9955817789873233,0.3939979715718858,drop
share_optimism_confidence,^GSPC__fwd_3m,431,-0.00912189243381396,0.8502265520476356,0.40475092641458776,0.9955817789873233,0.5524594583150064,drop
cell_fear_anxiety__inflation,BTC-USD__fwd_3m,432,-0.008957707718001754,0.8527217955496111,0.8946891789522654,0.9955817789873233,0.9063653835715445,drop
mean_intensity,BTC-USD__fwd_1m,441,-0.008803385797565956,0.8537389086567071,0.2049961371604611,0.9955817789873233,0.3936155170723613,drop
emo_confusion_uncertainty,QQQ__fwd_3m,431,-0.008903318869377534,0.8537745312849436,0.4508209066871741,0.9955817789873233,0.5851830772052926,drop
share_pessimism_despair,^IXIC__fwd_1m,440,-0.008664576055986252,0.8561822818102662,0.47125277177146707,0.9955817789873233,0.5984680275972116,drop
cell_fear_anxiety__markets_themselves,BTC-USD__fwd_1m,441,-0.008636866591991199,0.8564752678073063,0.8440071980661091,0.9955817789873233,0.8634735914317195,drop
share_surprise,^IXIC__fwd_1m,440,0.008612355815508375,0.8570397199239078,0.041904046691835575,0.9955817789873233,0.20817930396503914,drop
cell_optimism_confidence__growth_gdp,^IXIC__fwd_1m,440,-0.00859958446121294,0.8572494467319908,0.4572975363699116,0.9955817789873233,0.58917379685833,drop
cell_fear_anxiety__monetary_policy,BTC-USD__fwd_1m,441,-0.008523137305789083,0.8583451370981097,0.707396262181648,0.9955817789873233,0.7775098740085016,drop
cell_optimism_confidence__corporate_earnings,^IXIC__fwd_1m,440,-0.008501200243503286,0.8588654142979353,0.7374390768571101,0.9955817789873233,0.788188774480558,drop
emo_anger_disgust,^VIX__fwd_3m,431,0.00858409123311686,0.858961650914182,0.3622623339181132,0.9955817789873233,0.5246406524169388,drop
share_surprise,GLD__fwd_1w,443,0.008444772903473006,0.8593176098093642,0.9377429083480787,0.9955817789873233,0.9422950583886034,drop
share_surprise,^IXIC__fwd_3m,431,0.008541855053419813,0.8596484049226955,0.026043880628151838,0.9955817789873233,0.1671015359811112,drop
emo_fear_anxiety,^GSPC__fwd_3m,431,0.008540271370649381,0.8596741574306033,0.4331058023443523,0.9955817789873233,0.5698277611352601,drop
cell_optimism_confidence__corporate_earnings,SPY__fwd_1m,440,0.00839854103950934,0.8605522271151954,0.6144362830532507,0.9955817789873233,0.7132054799552685,drop
cell_anger_disgust__fiscal_taxes,^IXIC__fwd_1m,440,0.00833096515679121,0.8616629258698849,0.00026994879901721605,0.9955817789873233,0.020717185753080215,drop
emo_surprise,^IXIC__fwd_1w,443,0.00826903151921633,0.8622158158432832,0.7289618904410797,0.9955817789873233,0.7859120381317891,drop
emo_confusion_uncertainty,BTC-USD__fwd_3m,432,-0.008329439509083275,0.8629457770936425,0.06048964196813308,0.9955817789873233,0.21713333908792276,drop
share_excitement_euphoria,^VIX__fwd_1w,443,0.008178329952182942,0.8637123297636349,0.13876423694829385,0.9955817789873233,0.3330768858582756,drop
share_optimism_confidence,^IXIC__fwd_3m,431,-0.008235156730936107,0.8646384161811638,0.6506829949394551,0.9955817789873233,0.7422103340479466,drop
mean_intensity,^VIX__fwd_3m,431,-0.008213274585961316,0.8649946488966685,0.391587354279115,0.9955817789873233,0.5415940913303573,drop
cell_anger_disgust__fiscal_taxes,GLD__fwd_1m,440,-0.007957984701128804,0.867798199356411,0.07056832471257292,0.9955817789873233,0.24150767717539068,drop
share_anger_disgust,GC=F__fwd_1w,443,-0.007915968493920967,0.8680438402270965,0.564604317948276,0.9955817789873233,0.6691207661180905,drop
emo_pessimism_despair,BTC-USD__fwd_3m,432,-0.008008363805360946,0.8681796882171782,0.08680945735260914,0.9955817789873233,0.26316404908818186,drop
emo_surprise,SPY__fwd_3m,431,0.007850524622835127,0.870904005502771,0.13757549710339242,0.9955817789873233,0.3324295085650066,drop
